video_id,video_title,channel,source_step,source_step_name,source_position,status,privacy_status,embeddable,upload_status,api_title
Hb0BmXTYhlo,"2nd Grade Math 3.11, Repeated Addition of Equal Groups",JoAnn's_School,Year 1_5-6_Summer__Multiplication and division_5_Add equal groups,Add equal groups,current_1,embedding_disabled,public,False,processed,"2nd Grade Math 3.11, Repeated Addition of Equal Groups"
zWTRlPEHeBo,"Kindergarten Math 8.6, Count to 100 by Ones",JoAnn's_School,Year 1_5-6_Summer__Place value within 100_1_Count from 50 to 100,Count from 50 to 100,current_1,embedding_disabled,public,False,processed,"Kindergarten Math 8.6, Count to 100 by Ones"
2ozndTtc0dE,"2nd Grade Math 1.8, Counting Patterns Within 100",JoAnn's_School,Year 1_5-6_Summer__Place value within 100_1_Count from 50 to 100,Count from 50 to 100,current_3,embedding_disabled,public,False,processed,"2nd Grade Math 1.8, Counting Patterns Within 100"
zyCrmYVcz0o,"Grade 1 Math 7.2, Less than",JoAnn's_School,Year 1_5-6_Summer__Place value within 100_6_Compare numbers with the same number of tens,Compare numbers with the same number of tens,current_3,embedding_disabled,public,False,processed,"Grade 1 Math 7.2, Less than"
cuH0AWf4j50,"2nd Grade Math 5.6, Practice 2-digit Subtraction with Regrouping",JoAnn's_School,Year 2_6-7_Autumn__Addition and subtraction_18_Subtract two 2-digit numbers (across a 10),Subtract two 2-digit numbers (across a 10),current_3,embedding_disabled,public,False,processed,"2nd Grade Math 5.6, Practice 2-digit Subtraction with Regrouping"
LgXR20Ch2F8,"Kindergarten Math 6.7, Addition and Subtraction, Word Problems and Number Sentences",JoAnn's_School,Year 2_6-7_Autumn__Addition and subtraction_19_Mixed addition and subtraction,Mixed addition and subtraction,current_2,embedding_disabled,public,False,processed,"Kindergarten Math 6.7, Addition and Subtraction, Word Problems and Number Sentences"
1XG_7qn19bw,"Grade 1 Math 8.1, Add & subtract within 20",JoAnn's_School,Year 2_6-7_Autumn__Addition and subtraction_3_Related facts,Related facts,current_2,embedding_disabled,public,False,processed,"Grade 1 Math 8.1, Add & subtract within 20"
1rDI7MuM1ow,"Grade 1 Math 8.5, Use models to Add (two-digit numbers)",JoAnn's_School,Year 2_6-7_Autumn__Addition and subtraction_5_Add and subtract 1s,Add and subtract 1s,current_2,embedding_disabled,public,False,processed,"Grade 1 Math 8.5, Use models to Add (two-digit numbers)"
FFJWN0B5ggQ,"Grade 1 Math 8.6, Make ten to add (2 digits to 1 digit)",JoAnn's_School,Year 2_6-7_Autumn__Addition and subtraction_9_Add across a 10,Add across a 10,current_3,embedding_disabled,public,False,processed,"Grade 1 Math 8.6, Make ten to add (2 digits to 1 digit)"
tT3ui_UwmvA,"2nd Grade Math 1.5, Different Ways To Write Numbers, Word Form & Expanded Form",JoAnn's_School,Year 2_6-7_Autumn__Place value_6_Write numbers to 100 in words,Write numbers to 100 in words,current_2,embedding_disabled,public,False,processed,"2nd Grade Math 1.5, Different Ways To Write Numbers, Word Form & Expanded Form"
