unique_row,year,age,term,difficulty,block,macro_topic,topic,small_step_num,small_step_num_in_topic,small_step_name,ss_wr_desc,ss_desc,small_step_id,small_step_key,year_order,term_order,topic_order,source_row_index,legacy_step_position
Year11AutumnHigherSimilarityandcongruence,Year 11,15-16,Autumn,Higher,3,Geometry and measures,Similarity and congruence,1532,8,Congruence,"In this small step, students will identify and establish the difference between congruent and similar shapes, using conditions of congruence. Remind them that congruent shapes are identical, while similar shapes are proportional to each other. It may be necessary to remind students of the conditions of congruence such as SSS, ASA, SAS and RHS. Begin by defining each condition of congruence, highlighting the key features and showing various examples and non-examples for each. Students should understand the minimum information needed to establish congruence. Ensure students see examples that are commonly mistaken as congruent but do not present enough information, for example, two triangles with three angles in common are similar, but more information would be needed to determine if the triangles are congruent.","Students will distinguish between congruent and similar shapes, understanding that congruent shapes are identical and similar shapes are proportional. They'll learn conditions of congruence (SSS, ASA, SAS, RHS), identify key features, and recognize common misconceptions about congruence. Minimum information needed for establishing congruence will be emphasized.",Year 11_15-16_Autumn_Higher_Similarity and congruence_8_Congruence,year-11__15-16__autumn__higher__similarity-and-congruence__8__congruence,11,1,3,46,8
Year11AutumnHigherSimilarityandcongruence,Year 11,15-16,Autumn,Higher,3,Geometry and measures,Similarity and congruence,1533,9,Prove a pair of triangles are congruent,"In this small step, students use angle facts and conditions of congruence to prove whether a pair of triangles are congruent. Ensure students are confident in recognising and describing the conditions of congruence. Use examples and non-examples to support students understand and apply full correct statements for angle facts before they start to prove congruence. Model the process of proof in the first instance and then scaffold by providing partial workings, before students can produce formal proofs independently. Highlight to students that it is important to explicitly write any properties to prove congruence, such as equal lengths or angles, along with any reasoning. It may be useful to remind students of the properties of special quadrilaterals in preparation for this step.","In this small step, students use angle facts and conditions of congruence to prove whether a pair of triangles are congruent. Ensure students are confident in recognising and describing the conditions of congruence. Use examples and non-examples to support students understand and apply full correct statements for angle facts before they start to prove congruence. Model the process of proof in the first instance and then scaffold by providing partial workings, before students can produce formal proofs independently. Highlight to students that it is important to explicitly write any properties to prove congruence, such as equal lengths or angles, along with any reasoning. It may be useful to remind students of the properties of special quadrilaterals in preparation for this step.",Year 11_15-16_Autumn_Higher_Similarity and congruence_9_Prove a pair of triangles are congruent,year-11__15-16__autumn__higher__similarity-and-congruence__9__prove-a-pair-of-triangles-are-congruent,11,1,3,46,9
