row_index,small_step_num,year,term,difficulty,block,small_step_num_in_topic,old_small_step_name,new_small_step_name
1136,1137,Year 9,Summer,,1,4,""""" Interpret quadratic graphs",Interpret quadratic graphs
1137,1138,Year 9,Summer,,1,5,""""" Interpret reciprocal​ and exponential graphs​",Interpret reciprocal​ and exponential graphs​
1138,1139,Year 9,Summer,,1,6,""""" Draw cubic graphs (E)",Draw cubic graphs (E)
1139,1140,Year 9,Summer,,1,7,""""" Interpret cubic graphs (E)",Interpret cubic graphs (E)
1140,1141,Year 9,Summer,,1,8,""""" Interpret roots, intercepts and turning points (E)","Interpret roots, intercepts and turning points (E)"
1148,1149,Year 9,Summer,,2,1,""""" Identify and represent sets",Identify and represent sets
1149,1150,Year 9,Summer,,2,2,""""" Intersection of a set",Intersection of a set
1150,1151,Year 9,Summer,,2,3,""""" Union of a set",Union of a set
1151,1152,Year 9,Summer,,2,4,""""" Complement of a set (E)",Complement of a set (E)
1152,1153,Year 9,Summer,,2,5,""""" Probability of a single event ​",Probability of a single event ​
1153,1154,Year 9,Summer,,2,6,""""" Use diagrams to work out probabilities",Use diagrams to work out probabilities
1154,1155,Year 9,Summer,,2,7,""""" Relative frequency",Relative frequency
1155,1156,Year 9,Summer,,2,8,""""" Expected outcomes",Expected outcomes
1156,1157,Year 9,Summer,,2,9,""""" Independent events",Independent events
1157,1158,Year 9,Summer,,2,10,"""""0 Probabilities from Venn diagrams",Probabilities from Venn diagrams
1158,1159,Year 9,Summer,,3,1,""""" Enlargement (positive scale factor)",Enlargement (positive scale factor)
1159,1160,Year 9,Summer,,3,2,""""" Enlargement from a point (positive scale factor)",Enlargement from a point (positive scale factor)
1160,1161,Year 9,Summer,,3,3,""""" Enlargement (fractional scale factor)",Enlargement (fractional scale factor)
1161,1162,Year 9,Summer,,3,4,""""" Enlargement (negative scale factor) (E)",Enlargement (negative scale factor) (E)
1162,1163,Year 9,Summer,,3,5,""""" Describe an enlargement",Describe an enlargement
1163,1164,Year 9,Summer,,3,6,""""" Rotation about a point",Rotation about a point
1164,1165,Year 9,Summer,,3,7,""""" Describe a rotation",Describe a rotation
1165,1166,Year 9,Summer,,3,8,""""" Translation",Translation
1166,1167,Year 9,Summer,,3,9,""""" Describe a translation",Describe a translation
1167,1168,Year 9,Summer,,3,10,"""""0 Reflection",Reflection
1168,1169,Year 9,Summer,,3,11,"""""1 Find the result of a series of transformations (E)",Find the result of a series of transformations (E)
1169,1170,Year 9,Summer,,4,1,""""" Use one value to find another",Use one value to find another
1170,1171,Year 9,Summer,,4,2,""""" Introduction to simultaneous equations",Introduction to simultaneous equations
1171,1172,Year 9,Summer,,4,3,""""" Solve simultaneous equations​ using graphs",Solve simultaneous equations​ using graphs
1172,1173,Year 9,Summer,,4,4,""""" Solve simultaneous equations (no adjustments)",Solve simultaneous equations (no adjustments)
1173,1174,Year 9,Summer,,4,5,""""" Manipulating equations",Manipulating equations
1174,1175,Year 9,Summer,,4,6,""""" Solve simultaneous equations (adjust one)",Solve simultaneous equations (adjust one)
1175,1176,Year 9,Summer,,4,7,""""" Solve simultaneous equations (adjust both) (E)",Solve simultaneous equations (adjust both) (E)
1176,1177,Year 9,Summer,,4,8,""""" Solve simultaneous equations by substitution (E)",Solve simultaneous equations by substitution (E)
1386,1387,Year 10,Summer,Foundation,1,1,""""" Identify hypotenuse, opposite and adjacent sides​","Identify hypotenuse, opposite and adjacent sides​"
1387,1388,Year 10,Summer,Foundation,1,2,""""" Use the tangent ratio to find unknown side lengths​",Use the tangent ratio to find unknown side lengths​
1388,1389,Year 10,Summer,Foundation,1,3,""""" Use sine and cosine ratios to find unknown side lengths​",Use sine and cosine ratios to find unknown side lengths​
1389,1390,Year 10,Summer,Foundation,1,4,""""" Use sine, cosine and tangent ratios to find unknown angles​","Use sine, cosine and tangent ratios to find unknown angles​"
1390,1391,Year 10,Summer,Foundation,1,5,""""" Choose the right method",Choose the right method
1391,1392,Year 10,Summer,Foundation,1,6,""""" Key angles in right-angled triangles (E)​",Key angles in right-angled triangles (E)​
1392,1393,Year 10,Summer,Foundation,1,7,""""" Trigonometry in 3-D shapes (E)​",Trigonometry in 3-D shapes (E)​
1393,1394,Year 10,Summer,Foundation,2,1,""""" Angles around a point, on a straight line and vertically opposite","Angles around a point, on a straight line and vertically opposite"
1394,1395,Year 10,Summer,Foundation,2,2,""""" Angles in a triangle",Angles in a triangle
1395,1396,Year 10,Summer,Foundation,2,3,""""" Angles in a quadrilateral",Angles in a quadrilateral
1396,1397,Year 10,Summer,Foundation,2,4,""""" Exterior angles of a polygon",Exterior angles of a polygon
1397,1398,Year 10,Summer,Foundation,2,5,""""" Interior angles of a polygon",Interior angles of a polygon
1398,1399,Year 10,Summer,Foundation,2,6,""""" Solve problems with angles in polygons​ (E)",Solve problems with angles in polygons​ (E)
1399,1400,Year 10,Summer,Foundation,2,7,""""" Alternate and corresponding angles​",Alternate and corresponding angles​
1400,1401,Year 10,Summer,Foundation,2,8,""""" Alternate, corresponding and co-interior angles","Alternate, corresponding and co-interior angles"
1401,1402,Year 10,Summer,Foundation,2,9,""""" Prove geometric facts (E)",Prove geometric facts (E)
1402,1403,Year 10,Summer,Foundation,3,1,""""" Pictograms",Pictograms
1403,1404,Year 10,Summer,Foundation,3,2,""""" Line and bar charts",Line and bar charts
1404,1405,Year 10,Summer,Foundation,3,3,""""" Dual and composite bar charts",Dual and composite bar charts
1405,1406,Year 10,Summer,Foundation,3,4,""""" Draw pie charts",Draw pie charts
1406,1407,Year 10,Summer,Foundation,3,5,""""" Interpret pie charts",Interpret pie charts
1407,1408,Year 10,Summer,Foundation,3,6,""""" Time series graphs",Time series graphs
1408,1409,Year 10,Summer,Foundation,3,7,""""" Frequency polygons",Frequency polygons
1409,1410,Year 10,Summer,Foundation,3,8,""""" Stem-and-leaf diagrams",Stem-and-leaf diagrams
1410,1411,Year 10,Summer,Foundation,4,1,""""" Understand and represent vectors",Understand and represent vectors
1411,1412,Year 10,Summer,Foundation,4,2,""""" Vector notation",Vector notation
1412,1413,Year 10,Summer,Foundation,4,3,""""" Translate by a vector",Translate by a vector
1413,1414,Year 10,Summer,Foundation,4,4,""""" Vectors multiplied by a scalar",Vectors multiplied by a scalar
1414,1415,Year 10,Summer,Foundation,4,5,""""" Add vectors",Add vectors
1415,1416,Year 10,Summer,Foundation,4,6,""""" Add and subtract vectors",Add and subtract vectors
